"","lambda","intensity"
"1212",434.13,0.0909
"1213",434.34,0.10088
"1214",434.54,0.089956
"1215",434.74,0.093064
"1216",434.95,0.095552
"1217",435.15,0.092501
"1218",435.36,0.096034
"1219",435.56,0.090842
"1220",435.77,0.097768
"1221",435.97,0.090672
"1222",436.18,0.10887
"1223",436.38,0.099956
"1224",436.59,0.095368
"1225",436.79,0.10276
"1226",437,0.10089
"1227",437.2,0.09711
"1228",437.41,0.095823
"1229",437.61,0.099451
"1230",437.81,0.098563
"1231",438.02,0.098248
"1232",438.22,0.10198
"1233",438.43,0.094054
"1234",438.63,0.10706
"1235",438.84,0.097334
"1236",439.04,0.098661
"1237",439.25,0.10065
"1238",439.45,0.095448
"1239",439.66,0.096564
"1240",439.86,0.098283
"1241",440.06,0.10848
"1242",440.27,0.099585
"1243",440.47,0.094823
"1244",440.68,0.107
"1245",440.88,0.10281
"1246",441.09,0.10858
"1247",441.29,0.10781
"1248",441.49,0.10699
"1249",441.7,0.11342
"1250",441.9,0.10932
"1251",442.11,0.11248
"1252",442.31,0.11625
"1253",442.52,0.10902
"1254",442.72,0.10852
"1255",442.92,0.10307
"1256",443.13,0.11232
"1257",443.33,0.10059
"1258",443.54,0.10856
"1259",443.74,0.10751
"1260",443.95,0.11314
"1261",444.15,0.10919
"1262",444.35,0.11381
"1263",444.56,0.10794
"1264",444.76,0.10378
"1265",444.97,0.1177
"1266",445.17,0.11283
"1267",445.37,0.12023
"1268",445.58,0.10798
"1269",445.78,0.11114
"1270",445.99,0.10439
"1271",446.19,0.1046
"1272",446.39,0.10686
"1273",446.6,0.10284
"1274",446.8,0.1032
"1275",447.01,0.11149
"1276",447.21,0.11711
"1277",447.41,0.10724
"1278",447.62,0.1157
"1279",447.82,0.11175
"1280",448.03,0.1152
"1281",448.23,0.11448
"1282",448.43,0.11597
"1283",448.64,0.11805
"1284",448.84,0.11698
"1285",449.05,0.11387
"1286",449.25,0.11816
"1287",449.45,0.11188
"1288",449.66,0.11445
"1289",449.86,0.1157
"1290",450.07,0.10984
"1291",450.27,0.11488
"1292",450.47,0.11213
"1293",450.68,0.11477
"1294",450.88,0.1114
"1295",451.08,0.11455
"1296",451.29,0.11704
"1297",451.49,0.11671
"1298",451.7,0.11526
"1299",451.9,0.11795
"1300",452.1,0.11707
"1301",452.31,0.10939
"1302",452.51,0.1175
"1303",452.71,0.11548
"1304",452.92,0.11387
"1305",453.12,0.11938
"1306",453.32,0.11444
"1307",453.53,0.10496
"1308",453.73,0.10679
"1309",453.93,0.10773
"1310",454.14,0.11892
"1311",454.34,0.11628
"1312",454.55,0.11918
"1313",454.75,0.11678
"1314",454.95,0.11264
"1315",455.16,0.12278
"1316",455.36,0.11382
"1317",455.56,0.1243
"1318",455.77,0.12126
"1319",455.97,0.11821
"1320",456.17,0.11488
"1321",456.38,0.11886
"1322",456.58,0.12462
"1323",456.78,0.11729
"1324",456.99,0.11107
"1325",457.19,0.11673
"1326",457.39,0.11577
"1327",457.6,0.11807
"1328",457.8,0.11649
"1329",458,0.11459
"1330",458.21,0.12115
"1331",458.41,0.11961
"1332",458.61,0.11542
"1333",458.82,0.11443
"1334",459.02,0.11089
"1335",459.22,0.12262
"1336",459.43,0.12006
"1337",459.63,0.11767
"1338",459.83,0.11395
"1339",460.03,0.11716
"1340",460.24,0.1204
"1341",460.44,0.11402
"1342",460.64,0.11016
"1343",460.85,0.11732
"1344",461.05,0.11648
"1345",461.25,0.11735
"1346",461.46,0.11403
"1347",461.66,0.11118
"1348",461.86,0.11675
"1349",462.07,0.11984
"1350",462.27,0.11728
"1351",462.47,0.122
"1352",462.67,0.1159
"1353",462.88,0.11896
"1354",463.08,0.11051
"1355",463.28,0.1168
"1356",463.49,0.12114
"1357",463.69,0.11703
"1358",463.89,0.11822
"1359",464.09,0.11903
"1360",464.3,0.11438
"1361",464.5,0.12027
"1362",464.7,0.12095
"1363",464.91,0.10973
"1364",465.11,0.11101
"1365",465.31,0.11157
"1366",465.51,0.11774
"1367",465.72,0.11524
"1368",465.92,0.11491
"1369",466.12,0.11092
"1370",466.33,0.11724
"1371",466.53,0.11496
"1372",466.73,0.11185
"1373",466.93,0.11736
"1374",467.14,0.11187
"1375",467.34,0.12367
"1376",467.54,0.11706
"1377",467.74,0.1177
"1378",467.95,0.116
"1379",468.15,0.11293
"1380",468.35,0.11734
"1381",468.55,0.12039
"1382",468.76,0.12007
"1383",468.96,0.10897
"1384",469.16,0.11668
"1385",469.37,0.11591
"1386",469.57,0.11642
"1387",469.77,0.11182
"1388",469.97,0.11591
"1389",470.18,0.11866
"1390",470.38,0.11988
"1391",470.58,0.11646
"1392",470.78,0.11883
"1393",470.99,0.11768
