"species","sex","ecomorph","pht","pdia","dist1","dist2","dist3"
"GU","F","TG",1.75,0.052,0,0,0
"GU","F","TG",1.84,0.01,0.1,0.39,0.42
"GU","F","TG",0.25,0.14,0.08,1,0.24
"GU","F","TG",1.14,0.01,0.3,0.37,0.78
"GU","F","TG",0.5,0.045,0.06,0.14,0.39
"GU","F","TG",0.6,0.16,0.4,0.09,0.17
"GU","F","TG",3.5,0.06,1,1,0.41
"GU","F","TG",0.75,0.007,0.02,0.11,0.02
"GU","F","TG",0.43,0.09,0.08,0.27,0.35
"GU","F","TG",0.35,0.02,0.11,0.04,0.1
"GU","F","TG",0.68,0.035,0.16,0.55,0.65
"GU","F","TG",2.1,0.035,0.39,0.9,0.71
"GU","F","TG",1.5,0.011,0.29,1,1
"GU","F","TG",1.52,0.21,0.6,1,0.61
"GU","F","TG",0.55,0.025,0.07,1,0.16
"GU","F","TG",0.37,0.045,0.13,0.12,0.81
"GU","F","TG",1.08,0.025,0.26,0.38,1
"GU","F","TG",1.06,0.085,0.37,0.6,0.71
"GU","F","TG",1.1,0.12,0.29,1,0.44
"GU","F","TG",0.73,0.065,0.27,0.54,0.31
"GU","F","TG",0.58,0.07,0.17,0.21,0.57
"GU","F","TG",0.84,0.036,0.14,0.18,0.26
"GU","F","TG",0.57,0.115,0.27,0.16,0.4
"GU","F","TG",3.1,0.07,1,0.47,0.41
"GU","F","TG",0.83,0.015,0.51,0.59,0.59
"GU","F","TG",1.37,0.04,1,0.52,0.56
"GU","F","TG",1.01,0.025,1,0.68,0.54
"GU","F","TG",1.15,0.01,0.69,0.9,0.14
"GU","F","TG",1.4,0.11,0.1,1,1
"GU","F","TG",2.26,0.04,0.08,1,1
"GU","F","TG",1.87,0.057,0.05,1,1
"GU","F","TG",0.87,0.15,1,1,0.91
"GU","F","TG",1.8,0.043,0.26,0.31,0.74
"GU","F","TG",1.72,0.026,0.24,0.39,0.51
"GU","F","TG",3.1,0.021,0.03,0.08,0.24
"GU","F","TG",1.33,0.02,0.15,0.15,0.47
"GU","F","TG",1.47,0.018,0.67,0.51,1
"GU","F","TG",1.11,0.038,0.62,0.65,0.31
"GU","F","TG",0.57,0.15,0.22,0.58,0.45
"GU","F","TG",1.44,0.028,0.49,0.71,0.18
"GU","F","TG",0.7,0.22,0.52,0.87,0.59
"GU","F","TG",1.09,0.51,0.12,1,1
"GU","F","TG",1.52,0.14,1,0.15,0.52
"GU","F","TG",1.11,0.13,0.67,1,0.15
"GU","F","TG",0.8,0.022,0.73,1,0.57
"GU","F","TG",0.36,0.4,0.48,1,0.6
"GU","F","TG",1.8,0.18,0.1,1,1
"GU","F","TG",1.29,0.05,0.4,0.95,0.73
"GU","F","TG",0.83,0.025,0.11,0.41,0.55
"GU","F","TG",1.45,0.035,0.5,1,0.42
"GU","F","TG",3,0.07,0.5,0.69,1
"GU","F","TG",1.25,0.075,0.55,0.75,1
"GU","F","TG",0.6,0.014,0.07,1,0.5
"GU","M","TG",1.3,0.1,1,1,0.5
"GU","M","TG",2.32,0.4,0,0,0
"GU","M","TG",3,0.2,0,0,0
"GU","M","TG",1,0.04,0,0,0
"GU","M","TG",1.5,0.068,0,0,0
"GU","M","TG",0.37,0.26,0.13,0.18,0.15
"GU","M","TG",2,0.15,0.3,0.7,0.5
"GU","M","TG",3,0.035,0.4,0.5,0.45
"GU","M","TG",1.14,0.14,0.32,0.69,0.83
"GU","M","TG",3,0.11,1,1,1
"GU","M","TG",0.46,0.015,0.13,0.37,0.35
"GU","M","TG",2,0.1,0.08,0.42,1
"GU","M","TG",1.02,0.125,0.79,1,0.95
"GU","M","TG",1.32,0.17,0.6,1,1
"GU","M","TG",2,0.12,0.8,1,1
"GU","M","TG",0.51,0.79,0.56,0.74,0.65
"GU","M","TG",0.92,0.14,0.23,0.13,0.36
"GU","M","TG",1.15,0.97,0.22,0.47,1
"GU","M","TG",0.84,0.079,0.33,1,0.46
"GU","M","TG",1.52,0.27,0.18,0.09,0.16
"GU","M","TG",1.35,0.2,0.32,0.48,0.39
"GU","M","TG",1.8,0.16,0.16,0.9,1
"GU","M","TG",1.12,0.22,0.4,1,0.48
"GU","M","TG",1.39,0.065,0.9,0.89,1
"GU","M","TG",3.5,0.04,0.12,0.43,1
"GU","M","TG",2,0.2,0.27,0.25,0.14
"GU","M","TG",1.5,0.02,1,1,0.4
"GU","M","TG",2.3,0.17,1,1,1
"GU","M","TG",3.5,0.16,1,1,0.8
"GU","M","TG",1.8,0.08,0.36,0.32,0.31
"GU","M","TG",2.4,0.02,0.68,0.14,0.43
"GU","M","TG",1.5,0.18,0.21,0.64,1
"GU","M","TG",0.76,0.105,1,1,0.45
"GU","M","TG",3.4,0.045,0.59,1,1
"GU","M","TG",0.76,0.015,1,0.21,0.37
"GU","M","TG",1.5,0.11,0.63,0.56,0.58
"GU","M","TG",1.87,0.16,1,1,0.82
"GU","M","TG",1.51,0.26,0.57,0.41,0.42
"GU","M","TG",2.2,0.09,0.2,0.23,0.45
"GU","M","TG",0.99,0.11,0.32,0.4,0.3
"GU","M","TG",2.7,0.26,0.61,0.23,1
"GU","M","TG",1.01,0.03,0.06,0.18,0.47
"GU","M","TG",1.45,0.13,0.09,0.12,0.14
"GU","M","TG",1.51,0.06,0.34,0.18,0.52
"GU","M","TG",1.72,0.19,0.67,0.56,0.55
"GU","M","TG",0.65,0.011,0.23,0.08,0.29
"GU","M","TG",1.2,0.21,0.86,1,1
"GU","M","TG",2.35,0.19,0.27,1,0.22
"GU","M","TG",1.33,0.25,1,0.47,0.38
"GU","M","TG",1.05,0.102,0.22,1,0.47
"GU","M","TG",1.63,0.47,1,1,1
"GU","M","TG",1.6,0.025,1,1,0.66
"GU","M","TG",1.55,0.05,0.42,1,0.18
"GU","M","TG",0.97,0.02,0.76,1,0.29
"GU","M","TG",3.5,0.05,0.1,1,1
"GU","M","TG",1.04,0.04,0.16,0.83,0.31
"GU","M","TG",2.1,0.21,0.1,0.85,0.47
