SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Jul 25 10:38:40 HST 2007
User: guest
Dark Spectrum Present: Yes
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: USB4E01242
Integration Time (usec): 100000 (USB4E01242)
Spectra Averaged: 1 (USB4E01242)
Boxcar Smoothing: 10 (USB4E01242)
Correct for Electrical Dark: No (USB4E01242)
Strobe/Lamp Enabled: No (USB4E01242)
Correct for Detector Non-linearity: No (USB4E01242)
Correct for Stray Light: No (USB4E01242)
Number of Pixels in Processed Spectrum: 3648
>>>>>Begin Processed Spectral Data<<<<<	
438.02	0.040232
438.22	0.04327
438.43	0.035089
438.63	0.047976
438.84	0.038438
439.04	0.039524
439.25	0.041447
439.45	0.036359
439.66	0.0375
439.86	0.038892
440.06	0.048824
440.27	0.039584
440.47	0.034837
440.68	0.046142
440.88	0.041411
441.09	0.046716
441.29	0.045203
441.49	0.043903
441.7	0.049855
441.9	0.045457
442.11	0.048516
442.31	0.052413
442.52	0.044962
442.72	0.044541
442.92	0.03864
443.13	0.047676
443.33	0.036403
443.54	0.044353
443.74	0.043174
443.95	0.048843
444.15	0.044902
444.35	0.049324
444.56	0.043177
444.76	0.039055
444.97	0.05294
445.17	0.047807
445.37	0.055487
445.58	0.04345
445.78	0.046385
445.99	0.039777
446.19	0.040075
446.39	0.041796
446.6	0.037393
446.8	0.03842
447.01	0.046674
447.21	0.052153
447.41	0.042344
447.62	0.050572
447.82	0.046934
448.03	0.049813
448.23	0.048836
448.43	0.049997
448.64	0.052141
448.84	0.05112
449.05	0.047669
449.25	0.052255
449.45	0.046449
449.66	0.048547
449.86	0.049852
450.07	0.044116
450.27	0.049278
450.47	0.046385
450.68	0.049454
450.88	0.046198
451.08	0.048601
451.29	0.050937
451.49	0.051124
451.7	0.049226
451.9	0.051643
452.1	0.050406
452.31	0.042979
452.51	0.051356
452.71	0.049191
452.92	0.047329
453.12	0.052399
453.32	0.047475
453.53	0.038152
453.73	0.039412
453.93	0.040511
454.14	0.051137
454.34	0.048818
454.55	0.05159
454.75	0.049098
454.95	0.044098
455.16	0.054851
455.36	0.046373
455.56	0.056687
455.77	0.053776
455.97	0.050422
456.17	0.046858
456.38	0.050733
456.58	0.056248
456.78	0.048454
456.99	0.042399
457.19	0.048294
457.39	0.048175
457.6	0.051138
457.8	0.049444
458	0.04771
458.21	0.054402
458.41	0.053199
458.61	0.04867
458.82	0.047544
459.02	0.044597
459.22	0.056631
459.43	0.053098
459.63	0.050044
459.83	0.046111
460.03	0.048887
460.24	0.052299
460.44	0.046195
460.64	0.04237
460.85	0.049927
461.05	0.049157
461.25	0.050444
461.46	0.047557
461.66	0.044242
461.86	0.049623
462.07	0.052506
462.27	0.050115
462.47	0.05477
462.67	0.04887
462.88	0.052082
463.08	0.04355
463.28	0.049699
463.49	0.054107
463.69	0.050497
463.89	0.052126
464.09	0.052759
464.3	0.048487
464.5	0.054837
464.7	0.05545
464.91	0.043871
465.11	0.04479
465.31	0.045736
465.51	0.051536
465.72	0.048623
465.92	0.048776
466.12	0.04436
466.33	0.050749
466.53	0.048664
466.73	0.045676
466.93	0.051217
467.14	0.04528
467.34	0.057602
467.54	0.050764
467.74	0.051778
467.95	0.049864
468.15	0.046831
468.35	0.051508
468.55	0.054143
468.76	0.053681
468.96	0.043249
469.16	0.051275
469.37	0.050742
469.57	0.051147
469.77	0.046564
469.97	0.050618
470.18	0.053193
470.38	0.054749
470.58	0.051158
470.78	0.053471
470.99	0.052281
471.19	0.048693
471.39	0.051809
471.59	0.045537
471.79	0.049592
472	0.050941
472.2	0.053566
472.4	0.04846
472.6	0.048504
472.81	0.056214
473.01	0.053916
473.21	0.048833
473.41	0.042126
473.62	0.053545
473.82	0.056466
474.02	0.04964
474.22	0.050348
474.42	0.05925
474.63	0.053558
474.83	0.050405
475.03	0.051379
475.23	0.053273
475.44	0.050162
475.64	0.051846
475.84	0.053695
476.04	0.051162
476.24	0.051936
476.45	0.052898
476.65	0.049801
476.85	0.049233
477.05	0.053775
477.25	0.055603
477.46	0.052218
477.66	0.050805
477.86	0.054814
478.06	0.054746
478.26	0.054681
478.47	0.052984
478.67	0.059072
478.87	0.052371
479.07	0.048776
479.27	0.053621
479.47	0.055428
479.68	0.054604
479.88	0.055515
480.08	0.05436
480.28	0.055873
480.48	0.055615
480.69	0.056944
480.89	0.054198
481.09	0.054453
481.29	0.059509
481.49	0.046469
481.69	0.056192
481.9	0.053612
482.1	0.055247
482.3	0.059045
482.5	0.056636
482.7	0.053201
482.9	0.053788
483.11	0.053781
483.31	0.054119
483.51	0.047167
483.71	0.048823
483.91	0.050147
484.11	0.050466
484.32	0.050734
484.52	0.052531
484.72	0.052127
484.92	0.051362
485.12	0.051179
485.32	0.050529
485.52	0.050398
485.73	0.046581
485.93	0.045552
486.13	0.046554
486.33	0.047852
486.53	0.049885
486.73	0.050711
486.93	0.049174
487.14	0.054208
487.34	0.053318
487.54	0.052707
487.74	0.055039
487.94	0.047261
488.14	0.053339
488.34	0.052917
488.54	0.05189
488.75	0.051212
488.95	0.052474
489.15	0.051384
489.35	0.050294
489.55	0.051006
489.75	0.052921
489.95	0.051363
490.15	0.051527
490.36	0.053767
490.56	0.051934
490.76	0.055247
490.96	0.053794
491.16	0.054502
491.36	0.053148
491.56	0.052568
491.76	0.047424
491.96	0.0531
492.17	0.052272
492.37	0.053915
492.57	0.055886
492.77	0.05586
492.97	0.058814
493.17	0.056
493.37	0.055087
493.57	0.054043
493.77	0.053628
493.97	0.058006
494.17	0.054191
494.38	0.055332
494.58	0.053193
494.78	0.053669
494.98	0.0532
495.18	0.055638
495.38	0.05515
495.58	0.056487
495.78	0.056256
495.98	0.058193
496.18	0.05716
496.38	0.054231
496.58	0.050368
496.78	0.056707
496.99	0.052258
497.19	0.056251
497.39	0.057797
497.59	0.055371
497.79	0.051744
497.99	0.055189
498.19	0.056389
498.39	0.057083
498.59	0.053643
498.79	0.053013
498.99	0.0528
499.19	0.055256
499.39	0.055625
499.59	0.053235
499.79	0.053712
499.99	0.053725
500.19	0.057195
500.4	0.053875
500.6	0.056303
500.8	0.055714
501	0.054497
501.2	0.053367
501.4	0.057707
501.6	0.054468
501.8	0.054376
502	0.056518
502.2	0.054369
502.4	0.054267
502.6	0.050802
502.8	0.057992
503	0.055679
503.2	0.053349
503.4	0.051727
503.6	0.053313
503.8	0.056534
504	0.054317
504.2	0.056935
504.4	0.056121
504.6	0.058514
504.8	0.058407
505	0.057528
505.2	0.059998
505.4	0.05786
505.6	0.056734
505.8	0.058367
506	0.058222
506.2	0.057331
506.4	0.057403
506.6	0.057271
506.8	0.055177
507	0.057735
507.2	0.05891
507.4	0.06092
507.6	0.057686
507.8	0.059289
508	0.059758
508.2	0.0625
508.4	0.06019
