BioWare 3.0 Export
Device:	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Voltage Custom	Force plate 9286AA	Force plate 9286AA	Force plate 9286AA	Force plate 9286AA
Samples (#):	8000	8000	8000	8000	8000	8000	8000	8000	8000
Rate (Hz):	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000
Contact period start (sample #):	17	17	17	17	0	17	17	17	17
Contact period end (sample #):	19	19	19	19	7999	19	19	19	19
Contact period start time (s):	0.016983	0.016983	0.016983	0.016983	0.000000	0.016983	0.016983	0.016983	0.016983
Contact period end time (s):	0.018981	0.018981	0.018981	0.018981	7.991009	0.018981	0.018981	0.018981	0.018981
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
abs time (s)	Fx	Fy	Fz	Ft	aux	Fx	Fy	Fz	Ft
	N	N	N	N	V	N	N	N	N
0.076923	7.791754	-6.246319	-2.009309	10.186523	4.796063	7.920653	-6.258602	-2.350601	10.364949
0.077922	7.918833	-6.178190	-2.268597	10.296819	4.795910	7.775692	-6.624819	-2.503192	10.517394
0.078921	8.054359	-6.106018	-2.523308	10.417448	4.796063	7.783322	-6.815557	-2.259047	10.589391
0.079920	8.197097	-6.031683	-2.772968	10.548126	4.796368	7.832914	-6.361601	-2.220900	10.332323
0.080919	8.343786	-5.957185	-3.015612	10.686475	4.795758	7.302663	-5.377394	-1.992014	9.285115
0.081918	8.488459	-5.884088	-3.247182	10.826848	4.796063	7.943542	-5.552872	-2.396379	9.983831
0.082917	8.622251	-5.812829	-3.461451	10.959646	4.795758	8.939193	-5.560502	-3.174589	10.995743
0.083916	8.733748	-5.742166	-3.650665	11.071503	4.795910	8.656901	-5.037881	-3.853615	10.731847
0.084915	8.809731	-5.668965	-3.806775	11.146302	4.795910	8.473792	-5.140879	-4.181684	10.757336
0.085914	8.836098	-5.588403	-3.922993	11.166769	4.796216	8.801862	-5.762684	-4.235091	11.340956
0.086913	8.798895	-5.494596	-3.995314	11.116370	4.795910	8.958267	-5.903830	-4.395310	11.594159
0.087912	8.685427	-5.381510	-4.023801	10.981269	4.795605	8.836195	-5.854238	-4.593678	11.552157
0.088911	8.485417	-5.243844	-4.013496	10.752132	4.796063	8.767529	-5.903830	-4.769156	11.596104
0.089910	8.192075	-5.077641	-3.974881	10.425556	4.795605	8.702678	-5.526169	-4.937006	11.430187
0.090909	7.802971	-4.880432	-3.923741	10.005035	4.795453	8.687419	-4.942512	-5.013301	11.181809
0.091908	7.320550	-4.650931	-3.880265	9.501477	4.795605	7.695583	-3.576829	-4.441087	9.578045
0.092907	6.752188	-4.388485	-3.867309	8.933473	4.795453	5.143511	-3.019875	-3.449251	6.890043
0.093906	6.109867	-4.092712	-3.907920	8.327821	4.795605	7.325551	-4.465667	-3.266143	9.180064
0.094905	5.409678	-3.763688	-4.022489	7.720775	4.796063	8.317388	-3.946861	-3.601841	9.885844
0.095904	4.671131	-3.402711	-4.225989	7.159392	4.795910	2.732586	-3.256390	-3.479769	5.493623
0.096903	3.915938	-3.013318	-4.525639	6.700452	4.795605	1.763638	-4.240597	-3.136441	5.561505
0.097902	3.166370	-2.602192	-4.919215	6.402810	4.795758	4.826886	-4.370298	-2.915185	7.134188
0.098901	2.443797	-2.179598	-5.394321	6.310428	4.795758	3.037766	-2.813878	-3.250884	5.264426
0.099900	1.767642	-1.758959	-5.929020	6.432089	4.795605	0.100404	-1.596971	-4.898858	5.153563
0.100899	1.154487	-1.355473	-6.494085	6.733743	4.795605	0.733654	-0.971351	-7.004603	7.109588
0.101898	0.617254	-0.984080	-7.056734	7.151707	4.795758	1.317311	-0.055810	-8.652577	8.752458
0.102897	0.164685	-0.657359	-7.585084	7.615297	4.795300	-0.155184	0.783436	-9.598637	9.631806
0.103896	-0.198851	-0.383851	-8.052336	8.063932	4.795758	-0.948653	0.691882	-10.147962	10.215663
0.104895	-0.473391	-0.167232	-8.439762	8.454682	4.795758	-0.384070	0.138743	-9.812263	9.820757
0.105894	-0.663225	-0.006474	-8.738023	8.763159	4.795605	-0.567178	-0.116846	-9.148496	9.166805
0.106893	-0.776527	0.103162	-8.946824	8.981052	4.795758	-1.520867	-0.376249	-8.820427	8.958489
0.107892	-0.824746	0.168722	-9.073349	9.112318	4.795300	-1.410239	-0.582246	-8.683096	8.816118
0.108891	-0.821751	0.198175	-9.130084	9.169132	4.795300	-0.628214	-0.360990	-8.858574	8.888155
0.109890	-0.782648	0.199404	-9.132537	9.168180	4.795453	-0.410773	0.039559	-8.820427	8.830075
0.110889	-0.722332	0.179691	-9.097162	9.127563	4.795605	-0.284886	0.371443	-8.660207	8.672849
0.111888	-0.654029	0.145617	-9.039582	9.064381	4.795300	0.092775	0.558366	-8.293991	8.313282
0.112887	-0.588136	0.103135	-8.973204	8.993049	4.795147	0.306401	0.337110	-8.278731	8.291256
0.113886	-0.531545	0.057573	-8.908325	8.924355	4.795147	-0.063630	-0.044366	-8.408433	8.408791
0.114885	-0.487622	0.013432	-8.851832	8.865262	4.795453	-0.441291	-0.319028	-8.675466	8.692539
0.115884	-0.456782	-0.025927	-8.807459	8.819334	4.795147	-0.708324	-0.460174	-9.056942	9.096245
0.116883	-0.437499	-0.058542	-8.776472	8.787565	4.795300	-0.914321	-0.525025	-9.179014	9.239368
0.117882	-0.427410	-0.083860	-8.758492	8.769316	4.795147	-1.005875	-0.120661	-9.095089	9.151338
0.118881	-0.424240	-0.102414	-8.752212	8.763087	4.795300	-0.941024	0.241741	-8.995906	9.048220
0.119880	-0.426342	-0.115257	-8.755850	8.766982	4.795300	-0.593881	0.386702	-8.698355	8.727176
0.120879	-0.432778	-0.123350	-8.767333	8.778875	4.795147	-0.231479	0.329480	-8.545764	8.555246
0.121878	-0.443039	-0.127180	-8.784318	8.796403	4.795147	-0.128481	0.070077	-8.591541	8.592788
0.122877	-0.456615	-0.126716	-8.804206	8.816950	4.795453	-0.086519	-0.223659	-8.797538	8.800806
0.123876	-0.472633	-0.121702	-8.824260	8.837746	4.795147	-0.212406	-0.486877	-8.927240	8.943029
0.124875	-0.489744	-0.112098	-8.841822	8.856084	4.794995	-0.513771	-0.597505	-8.858574	8.893554
0.125874	-0.506262	-0.098457	-8.854577	8.869585	4.794995	-0.746471	-0.444915	-8.942499	8.984623
0.126873	-0.520476	-0.082038	-8.860798	8.876451	4.794995	-0.742657	-0.086328	-8.873833	8.905274
0.127872	-0.530983	-0.064595	-8.859534	8.875667	4.791790	-0.574807	0.188334	-8.995905	9.016218
0.128871	-0.536902	-0.047940	-8.850740	8.867139	4.793927	-0.616770	0.363813	-9.056942	9.085205
0.129870	-0.537955	-0.033469	-8.835328	8.851753	4.794842	-0.651102	0.394331	-9.018794	9.050860
0.130869	-0.534419	-0.021875	-8.815091	8.831303	0.022431	-0.506142	0.138743	-8.889092	8.904571
0.131868	-0.527001	-0.013151	-8.792483	8.808272	0.013123	-0.460365	-0.158808	-8.759391	8.772917
0.132867	-0.516662	-0.006876	-8.770256	8.785464	0.005951	-0.483253	-0.360990	-8.690725	8.711633
0.133866	-0.504434	-0.002610	-8.751039	8.765565	0.005798	-0.422217	-0.444915	-8.644948	8.666680
0.134865	-0.491277	-0.000212	-8.736912	8.750713	0.038148	-0.406958	-0.235103	-8.393174	8.406323
0.135864	-0.477976	0.000105	-8.729074	8.742150	0.004120	-0.406958	0.112039	-8.477099	8.487601
0.136863	-0.465123	-0.002020	-8.727662	8.740048	0.002594	-0.532845	0.371443	-8.545764	8.570413
0.137862	-0.453146	-0.006736	-8.731804	8.743557	0.000458	-0.483253	0.417220	-8.660207	8.683708
