"species","sex","ecomorph","pht","pdia","dist1","dist2","dist3"
"SA","M","TG",1.22,0.17,0.14,0.14,0.14
"SA","M","TG",0.16,0.015,0.08,0.1,0.07
"SA","M","TG",0.15,0.015,0.11,0.14,0.13
"SA","M","TG",0.33,0.055,0.26,0.27,0.13
"SA","M","TG",0.18,0.03,0.13,0.73,1
"SA","M","TG",0.34,0.034,0.18,0.08,0.05
"SA","M","TG",0.25,0.008,0.21,0.19,0.05
"SA","M","TG",0.64,0.05,0.1,0.23,0.14
"SA","M","TG",0.07,0.01,0.08,0.12,0.23
"SA","M","TG",0.18,0.065,0.06,0.19,0.16
"SA","M","TG",0.28,0.012,0.05,0.07,0.13
"SA","M","TG",0,0,0.56,0.86,1
"SA","M","TG",0.29,0.115,0.02,0.05,0.15
"SA","M","TG",0.1,0.01,0.01,0.17,0.96
"SA","M","TG",0.07,0.008,0.04,0.37,0.72
"SA","M","TG",0.11,0.004,0.1,0.15,0.33
"SA","M","TG",0.47,0.014,0.15,0.03,0.35
"SA","M","TG",0.48,0.008,0.07,0.16,0.09
"SA","M","TG",0.07,0.006,0.03,0.27,0.13
"SA","M","TG",0.52,0.069,0.26,0.09,0.33
"SA","M","TG",0.83,0.009,0.35,0.38,0.35
"SA","M","TG",0.14,0.051,0.09,1,0.37
"SA","M","TG",1.71,0.034,0.18,0.97,0.23
"SA","M","TG",0.28,0.08,0.17,1,1
"SA","M","TG",0.15,0.006,0.12,0.41,0.16
"SA","M","TG",0.73,0.022,0.43,0.05,0.81
"SA","M","TG",0.19,0.071,0.13,0.31,1
"SA","M","TG",0.75,0.058,0.17,0.47,0.12
"SA","M","TG",0.34,0.16,0.35,1,0.26
"SA","M","TG",0.37,0.015,0.2,0.85,0.94
"SA","M","TG",0.24,0.03,0.32,0.13,0.12
"SA","M","TG",0.5,0.13,0.07,0.26,1
"SA","M","TG",0.34,0.009,0.09,0.11,0.12
"SA","M","TG",0.72,0.05,0.05,1,0.22
"SA","M","TG",1.13,0.1,0.06,0.17,0.4
"SA","M","TG",0.45,0.045,0.05,0.06,0.08
"SA","M","TG",0.5,0.007,0.05,0.06,0.09
"VA","F","TW",1.52,0.01,0.1,0.49,0.6
"VA","F","TW",1.08,0.01,0.06,0.2,0.54
"VA","F","TW",1.52,0.02,0.04,0.1,0.35
"VA","F","TW",1.22,0.01,0.03,0.24,0.2
"VA","F","TW",3.2,0.009,0.04,0.65,0.27
"VA","F","TW",1.42,0.022,0.26,0.31,0.46
