BioWare 3.0 Export
Device:	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Voltage Custom	Force plate 9286AA	Force plate 9286AA	Force plate 9286AA	Force plate 9286AA
Samples (#):	8000	8000	8000	8000	8000	8000	8000	8000	8000
Rate (Hz):	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000
Contact period start (sample #):	512	512	512	512	0	512	512	512	512
Contact period end (sample #):	1005	1005	1005	1005	7999	1005	1005	1005	1005
Contact period start time (s):	0.511489	0.511489	0.511489	0.511489	0.000000	0.511489	0.511489	0.511489	0.511489
Contact period end time (s):	1.003996	1.003996	1.003996	1.003996	7.991009	1.003996	1.003996	1.003996	1.003996
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
abs time (s)	Fx	Fy	Fz	Ft	aux	Fx	Fy	Fz	Ft
	N	N	N	N	V	N	N	N	N
0.189810	-0.000066	0.002732	0.259686	0.259700	4.793927	-0.021159	0.164531	0.411663	0.443829
0.190809	-0.003483	-0.000030	0.269245	0.269267	0.103609	-0.208082	0.145457	0.365885	0.445340
0.191808	-0.005435	-0.001992	0.278847	0.278908	0.017395	-0.208082	0.019570	0.182777	0.277648
0.192807	-0.005330	-0.003022	0.288336	0.288401	0.013428	-0.147046	-0.087243	0.144630	0.223946
0.193806	-0.002932	-0.002966	0.297482	0.297512	0.020905	-0.021159	-0.110132	0.205666	0.234254
0.194805	0.001645	-0.001747	0.305876	0.305885	0.012360	0.062766	-0.102502	0.106482	0.160576
0.195804	0.008047	0.000573	0.312910	0.313014	0.011902	0.116172	-0.026207	0.274331	0.299066
0.196803	0.015833	0.003814	0.317889	0.318306	0.009918	0.142875	0.057717	0.373515	0.404052
0.197802	0.024580	0.007753	0.320236	0.321272	0.018463	0.051321	0.130198	0.487958	0.507630
0.198801	0.033931	0.012224	0.319735	0.321763	0.010986	-0.086010	0.084421	0.732102	0.741955
0.199800	0.043555	0.017181	0.316701	0.320143	0.011902	-0.017344	0.057717	0.564253	0.567462
0.200799	0.053110	0.022691	0.311972	0.317273	0.041047	0.062766	-0.026207	0.289590	0.297471
0.201798	0.062229	0.028869	0.306678	0.314257	0.013428	0.100913	-0.026207	-0.007961	0.104564
0.202797	0.070540	0.035789	0.301852	0.312043	0.013275	0.100913	0.000496	-0.137662	0.170689
0.203796	0.077703	0.043404	0.298075	0.311079	0.011902	0.081839	0.015755	0.014928	0.084668
0.204795	0.083427	0.051509	0.295325	0.311176	0.013123	0.039877	0.000496	0.335367	0.337730
0.205794	0.087479	0.059737	0.293095	0.311650	0.012665	0.070395	0.053903	0.457440	0.465953
0.206793	0.089680	0.067592	0.290703	0.311640	0.014038	0.139061	0.114939	0.617659	0.643469
0.207792	0.089925	0.074509	0.287638	0.310441	0.044709	0.089469	0.080606	0.465069	0.480407
0.208791	0.088191	0.079914	0.283773	0.307719	0.012665	0.036062	0.023385	0.365885	0.368401
0.209790	0.084559	0.083285	0.279396	0.303560	0.011292	0.066580	0.027199	0.205666	0.217879
0.210789	0.079225	0.084221	0.275075	0.298389	0.010224	0.181023	0.134012	0.182777	0.290062
0.211788	0.072524	0.082520	0.271456	0.292844	0.011444	0.192467	0.221752	0.182777	0.345869
