;"species";"sex";"spsex";"ecomorph";"pht";"pdia";"dist1";"dist2";"dist3";"island"
"218";"GA";"F";"GAF";"CG";1.5;0.08;"0.10";"0.45";"0.40";"jamaica"
"219";"GA";"F";"GAF";"CG";3.5;0.25;"0.12";"0.30";"0.40";"jamaica"
"220";"GA";"F";"GAF";"CG";3.5;0.025;"0.05";"0.30";"0.18";"jamaica"
"221";"GA";"F";"GAF";"CG";6.5;0.22;"0.12";"0.20";"0.40";"jamaica"
"222";"GA";"F";"GAF";"CG";0.54;0.17;"0.30";"0.23";"0.21";"jamaica"
"223";"GA";"F";"GAF";"CG";1.85;0.065;"0.33";"0.53";"0.72";"jamaica"
"224";"GA";"F";"GAF";"CG";0.51;0.34;"0.10";"1.00";"0.46";"jamaica"
"225";"GA";"F";"GAF";"CG";12;0.18;"0.45";"1.00";"0.65";"jamaica"
"226";"GA";"F";"GAF";"CG";5;0.38;"0.30";"0.25";"0.30";"jamaica"
"227";"GA";"F";"GAF";"CG";3.2;0.3;"0.25";"0.30";"0.90";"jamaica"
"228";"GA";"M";"GAM";"CG";3;0.03;"0.01";"0.02";"0.05";"jamaica"
"229";"GA";"M";"GAM";"CG";3.5;0.17;"0.13";"0.14";"0.81";"jamaica"
"230";"GA";"M";"GAM";"CG";2.18;0.36;"0.19";"0.24";"0.39";"jamaica"
"231";"GA";"M";"GAM";"CG";2.24;0.16;"0.12";"0.58";"0.40";"jamaica"
"232";"GA";"M";"GAM";"CG";2.52;0.13;"0.66";"0.23";"0.54";"jamaica"
"233";"GA";"M";"GAM";"CG";2.91;0.12;"0.40";"0.52";"0.37";"jamaica"
"234";"GA";"M";"GAM";"CG";1.63;0.1;"0.18";"0.13";"0.18";"jamaica"
"235";"GA";"M";"GAM";"CG";6.3;0.16;"0.21";"0.76";"1.00";"jamaica"
"236";"GA";"M";"GAM";"CG";0.72;0.06;"0.43";"0.30";"0.13";"jamaica"
"237";"GA";"M";"GAM";"CG";1.88;0.1;"0.06";"0.22";"0.25";"jamaica"
"238";"GA";"M";"GAM";"CG";4.94;0.18;"0.49";"0.70";"1.00";"jamaica"
"239";"GA";"M";"GAM";"CG";3.64;0.23;"0.80";"0.22";"0.29";"jamaica"
"240";"GA";"M";"GAM";"CG";3.85;0.15;"0.22";"0.49";"0.23";"jamaica"
"241";"GA";"M";"GAM";"CG";1.84;0.1;"0.16";"0.34";"0.60";"jamaica"
"242";"GA";"M";"GAM";"CG";2.14;0.11;"0.22";"0.47";"0.23";"jamaica"
"243";"GA";"M";"GAM";"CG";2.3;0.06;"0.13";"0.21";"0.08";"jamaica"
"244";"GA";"M";"GAM";"CG";3.04;0.065;"0.44";"0.33";"0.86";"jamaica"
"245";"GA";"M";"GAM";"CG";3.19;0.1;"0.28";"0.44";"0.62";"jamaica"
"246";"GA";"M";"GAM";"CG";1.75;0.22;"1.00";"1.00";"1.00";"jamaica"
"247";"GA";"M";"GAM";"CG";2.56;0.33;"1.00";"1.00";"0.59";"jamaica"
"248";"GA";"M";"GAM";"CG";5.75;0.17;"0.27";"0.32";"0.51";"jamaica"
"249";"GA";"M";"GAM";"CG";3.25;0.021;"0.11";"0.68";"0.55";"jamaica"
"250";"GA";"M";"GAM";"CG";3.9;0.053;"0.22";"0.84";"0.26";"jamaica"
"251";"GA";"M";"GAM";"CG";3.6;0.1;"0.22";"0.67";"0.41";"jamaica"
"252";"GA";"M";"GAM";"CG";3.4;0.037;"0.13";"0.49";"0.76";"jamaica"
"253";"GA";"M";"GAM";"CG";6;0.07;"0.30";"1.00";"0.40";"jamaica"
"254";"GA";"M";"GAM";"CG";1.75;0.05;"0.33";"0.45";"0.70";"jamaica"
"255";"GA";"M";"GAM";"CG";5;0.04;"0.10";"0.60";"0.15";"jamaica"
"256";"GA";"M";"GAM";"CG";2.5;0.065;"0.09";"0.40";"0.30";"jamaica"
"257";"GA";"M";"GAM";"CG";3.1;0.17;"0.50";"0.65";"0.25";"jamaica"
"258";"GA";"M";"GAM";"CG";3.1;0.2;"0.08";"0.70";"0.10";"jamaica"
"259";"GA";"M";"GAM";"CG";2.25;0.085;"0.08";"0.36";"0.38";"jamaica"
"260";"GA";"M";"GAM";"CG";9;0.15;"0.20";"0.25";"0.55";"jamaica"
"261";"GA";"M";"GAM";"CG";3.75;0.05;"0.12";"0.25";"0.99";"jamaica"
"262";"GA";"M";"GAM";"CG";5.5;0.03;"0.15";"0.15";"0.25";"jamaica"
"263";"GA";"M";"GAM";"CG";6;0.22;"0.40";"1.00";"0.77";"jamaica"
"264";"GA";"M";"GAM";"CG";0.5;0.003;"0.04";"0.12";"0.42";"jamaica"
"265";"GA";"M";"GAM";"CG";3.2;0.08;"0.20";"0.95";"1.00";"jamaica"
"266";"GA";"M";"GAM";"CG";1.55;0.27;"0.50";"1.00";"1.00";"jamaica"
"267";"GA";"M";"GAM";"CG";4.75;0.18;"0.22";"0.18";"0.15";"jamaica"
"268";"GA";"M";"GAM";"CG";9;0.15;"1.00";"1.00";"0.20";"jamaica"
"269";"GR";"F";"GRF";"TC";0.26;0.01;"0.02";"0.19";"0.19";"pr"
"270";"GR";"F";"GRF";"TC";0.85;0.05;"0.16";"0.18";"0.46";"pr"
"271";"GR";"F";"GRF";"TC";0.12;0.04;"0.96";"0.18";"0.08";"pr"
"272";"GR";"F";"GRF";"TC";4;0.08;"0.01";"0.02";"0.30";"pr"
"273";"GR";"F";"GRF";"TC";0.091;0.3;"0.67";"0.95";"0.26";"pr"
