,"species","family","SVL","TL","HL","FLL","HLL","Nfingers","Ntoes","N","ecology","source","PC1","PC2","PC3","morph","eco"
185,"Ophiomorus punctatissimus","Scincidae",74.8,81.8,3.9,0,0,0,0,2,"burrowing","Arnold & Burton (1978)",-1.56,-1.01,0.32,1,1
186,"Ophioscincus ophioscincus","Scincidae",92.25,76.5,4.2,0,0,0,0,4,"BURROWING","Cogger (1992)",-1.52,-0.73,0.18,1,1
187,"Pamelaescincus gardineri","Scincidae",63.6,73.7,8.1,13.2,18.8,5,5,7,,,0.8,-0.24,-0.35,0,
188,"Paracontias brocchii","Scincidae",118.2,81.9,5.5,0,0,0,0,2,"under stones","Glaw & Vences (1994)",-1.49,-0.27,0.22,1,0
189,"Paracontias hildebrandti","Scincidae",47.2,44.1,2.3,0,0,0,0,3,"under stones","Glaw & Vences (1994)",-1.48,-1.72,-0.41,1,0
190,"Paracontias holomelas","Scincidae",115.9,87.1,6.4,0,0,0,0,2,"under stones","Glaw & Vences (1994)",-1.47,-0.17,0.33,1,0
191,"Plestiodon egregius","Scincidae",47,81.4,4.9,8.8,13.3,5,5,35,"terrestrial, cryptic, burrowing","Conant & Collins (1991)",0.55,-1.09,-0.25,0,0
192,"Plestiodon elegans","Scincidae",84.3,151.9,11,24.5,34.2,5,5,13,,,0.84,0.13,0.5,0,
193,"Plestiodon fasciatus","Scincidae",66.7,112.8,9,19.5,27.1,5,5,40,"terrestrial, arboreal","Conant & Collins (1991)",0.82,-0.2,0.17,0,0
194,"Plestiodon inexpectatus","Scincidae",71.6,118.9,9.6,20.8,29.3,5,5,25,"terrestrial, arboreal","Conant & Collins (1991)",0.84,-0.09,0.22,0,0
195,"Plestiodon laticeps","Scincidae",109.7,167,15.7,33.9,46.5,5,5,14,"arboreal","Conant & Collins (1991)",1,0.71,0.55,0,0
196,"Plestiodon longirostris","Scincidae",66.1,101.5,10,21.8,31.8,5,5,8,"terrestrial","Garman (1884)",0.92,-0.06,0.04,0,0
197,"Plestiodon lynxe","Scincidae",58.7,82.8,6.7,13.6,18.8,5,5,11,,,0.73,-0.53,-0.2,0,
198,"Plestiodon obsoletus ","Scincidae",105.7,161.2,12.7,27.7,34.8,5,5,20,"terrestrial, cryptic","Stebbins (1985), JJW",0.88,0.46,0.51,0,0
199,"Plestiodon reynoldsi","Scincidae",54,57.5,4.2,2,6.6,1.1,2,19,"burrowing","Conant & Collins (1991)",-0.3,-1.07,-0.27,1,1
